id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bps_kode_kecamatan,bps_nama_kecamatan,kemendagri_kode_kecamatan,kemendagri_nama_kecamatan,jenis_unggas,jumlah_produksi,satuan,tahun
103,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213011,SERANGPANJANG,321323,SERANGPANJANG,AYAM PEDAGING,0,KG,2023
104,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213011,SERANGPANJANG,321323,SERANGPANJANG,ITIK/ITIK MANILA,2.803,KG,2023
105,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213070,SUBANG,321303,SUBANG,AYAM KAMPUNG,24.394,KG,2023
106,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213070,SUBANG,321303,SUBANG,AYAM PETELUR,165.017,KG,2023
107,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213070,SUBANG,321303,SUBANG,AYAM PEDAGING,0,KG,2023
108,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213070,SUBANG,321303,SUBANG,ITIK/ITIK MANILA,846,KG,2023
109,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213191,SUKASARI,321324,SUKASARI,AYAM KAMPUNG,29.854,KG,2023
110,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213191,SUKASARI,321324,SUKASARI,AYAM PETELUR,66.649,KG,2023
111,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213191,SUKASARI,321324,SUKASARI,AYAM PEDAGING,0,KG,2023
112,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213191,SUKASARI,321324,SUKASARI,ITIK/ITIK MANILA,26.077,KG,2023
113,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213171,TAMBAKDAHAN,321325,TAMBAKDAHAN,AYAM KAMPUNG,54.861,KG,2023
114,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213171,TAMBAKDAHAN,321325,TAMBAKDAHAN,AYAM PETELUR,"1,282,391",KG,2023
115,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213171,TAMBAKDAHAN,321325,TAMBAKDAHAN,AYAM PEDAGING,0,KG,2023
116,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213171,TAMBAKDAHAN,321325,TAMBAKDAHAN,ITIK/ITIK MANILA,30.39,KG,2023
117,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213040,TANJUNGSIANG,321314,TANJUNGSIANG,AYAM KAMPUNG,67.325,KG,2023
118,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213040,TANJUNGSIANG,321314,TANJUNGSIANG,AYAM PETELUR,407.523,KG,2023
119,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213040,TANJUNGSIANG,321314,TANJUNGSIANG,AYAM PEDAGING,4.229,KG,2023
120,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213040,TANJUNGSIANG,321314,TANJUNGSIANG,ITIK/ITIK MANILA,4,KG,2023
121,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213170,BINONG,321308,BINONG,AYAM KAMPUNG,26723.5,KG,2024
122,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213170,BINONG,321308,BINONG,AYAM PETELUR,0,KG,2024
123,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213170,BINONG,321308,BINONG,AYAM PEDAGING,1538232,KG,2024
124,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213170,BINONG,321308,BINONG,ITIK/ITIK MANILA,41264,KG,2024
125,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213220,BLANAKAN,321313,BLANAKAN,AYAM KAMPUNG,26458.06,KG,2024
126,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213220,BLANAKAN,321313,BLANAKAN,AYAM PETELUR,0,KG,2024
127,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213220,BLANAKAN,321313,BLANAKAN,AYAM PEDAGING,0,KG,2024
128,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213220,BLANAKAN,321313,BLANAKAN,ITIK/ITIK MANILA,32174,KG,2024
129,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213180,CIASEM,321309,CIASEM,AYAM KAMPUNG,87767.87,KG,2024
130,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213180,CIASEM,321309,CIASEM,AYAM PETELUR,8316,KG,2024
131,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213180,CIASEM,321309,CIASEM,AYAM PEDAGING,2875200,KG,2024
132,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213180,CIASEM,321309,CIASEM,ITIK/ITIK MANILA,24368,KG,2024
133,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213021,CIATER,321329,CIATER,AYAM KAMPUNG,28133.21,KG,2024
134,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213021,CIATER,321329,CIATER,AYAM PETELUR,2946,KG,2024
135,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213021,CIATER,321329,CIATER,AYAM PEDAGING,945222,KG,2024
136,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213021,CIATER,321329,CIATER,ITIK/ITIK MANILA,2128,KG,2024
137,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213060,CIBOGO,321317,CIBOGO,AYAM KAMPUNG,47618.05,KG,2024
138,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213060,CIBOGO,321317,CIBOGO,AYAM PETELUR,4574,KG,2024
139,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213060,CIBOGO,321317,CIBOGO,AYAM PEDAGING,287520,KG,2024
140,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213060,CIBOGO,321317,CIBOGO,ITIK/ITIK MANILA,1245,KG,2024
141,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213050,CIJAMBE,321319,CIJAMBE,AYAM KAMPUNG,158541.21,KG,2024
142,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213050,CIJAMBE,321319,CIJAMBE,AYAM PETELUR,36175,KG,2024
143,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213050,CIJAMBE,321319,CIJAMBE,AYAM PEDAGING,2914734,KG,2024
144,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213050,CIJAMBE,321319,CIJAMBE,ITIK/ITIK MANILA,5184,KG,2024
145,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213130,CIKAUM,321322,CIKAUM,AYAM KAMPUNG,40192.86,KG,2024
146,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213130,CIKAUM,321322,CIKAUM,AYAM PETELUR,0,KG,2024
147,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213130,CIKAUM,321322,CIKAUM,AYAM PEDAGING,6983142,KG,2024
148,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213130,CIKAUM,321322,CIKAUM,ITIK/ITIK MANILA,73854,KG,2024
149,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213090,CIPEUNDEUY,321320,CIPEUNDEUY,AYAM KAMPUNG,27919.78,KG,2024
150,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213090,CIPEUNDEUY,321320,CIPEUNDEUY,AYAM PETELUR,5821,KG,2024
151,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213090,CIPEUNDEUY,321320,CIPEUNDEUY,AYAM PEDAGING,2986614,KG,2024
152,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213090,CIPEUNDEUY,321320,CIPEUNDEUY,ITIK/ITIK MANILA,1571,KG,2024
153,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213150,CIPUNAGARA,321318,CIPUNAGARA,AYAM KAMPUNG,68691.95,KG,2024
154,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213150,CIPUNAGARA,321318,CIPUNAGARA,AYAM PETELUR,0,KG,2024
155,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213150,CIPUNAGARA,321318,CIPUNAGARA,AYAM PEDAGING,1329780,KG,2024
156,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213150,CIPUNAGARA,321318,CIPUNAGARA,ITIK/ITIK MANILA,24413,KG,2024
157,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213030,CISALAK,321302,CISALAK,AYAM KAMPUNG,119162.6,KG,2024
158,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213030,CISALAK,321302,CISALAK,AYAM PETELUR,3160,KG,2024
159,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213030,CISALAK,321302,CISALAK,AYAM PEDAGING,3231006,KG,2024
160,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213030,CISALAK,321302,CISALAK,ITIK/ITIK MANILA,3358,KG,2024
161,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213160,COMPRENG,321315,COMPRENG,AYAM KAMPUNG,34789.87,KG,2024
162,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213160,COMPRENG,321315,COMPRENG,AYAM PETELUR,7484,KG,2024
163,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213160,COMPRENG,321315,COMPRENG,AYAM PEDAGING,510348,KG,2024
164,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213160,COMPRENG,321315,COMPRENG,ITIK/ITIK MANILA,15224,KG,2024
165,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213081,DAWUAN,321327,DAWUAN,AYAM KAMPUNG,119605.61,KG,2024
166,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213081,DAWUAN,321327,DAWUAN,AYAM PETELUR,38254,KG,2024
167,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213081,DAWUAN,321327,DAWUAN,AYAM PEDAGING,4966908,KG,2024
168,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213081,DAWUAN,321327,DAWUAN,ITIK/ITIK MANILA,6085,KG,2024
169,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213020,JALANCAGAK,321312,JALANCAGAK,AYAM KAMPUNG,96661.98,KG,2024
170,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213020,JALANCAGAK,321312,JALANCAGAK,AYAM PETELUR,4990,KG,2024
171,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213020,JALANCAGAK,321312,JALANCAGAK,AYAM PEDAGING,4328103.25,KG,2024
172,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213020,JALANCAGAK,321312,JALANCAGAK,ITIK/ITIK MANILA,2362,KG,2024
173,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213080,KALIJATI,321304,KALIJATI,AYAM KAMPUNG,78845.09,KG,2024
174,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213080,KALIJATI,321304,KALIJATI,AYAM PETELUR,0,KG,2024
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213080,KALIJATI,321304,KALIJATI,AYAM PEDAGING,9987007.2,KG,2024
176,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213080,KALIJATI,321304,KALIJATI,ITIK/ITIK MANILA,2764,KG,2024
177,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213031,KASOMALANG,321326,KASOMALANG,AYAM KAMPUNG,92079.5,KG,2024
178,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213031,KASOMALANG,321326,KASOMALANG,AYAM PETELUR,8732,KG,2024
179,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213031,KASOMALANG,321326,KASOMALANG,AYAM PEDAGING,2254875.6,KG,2024
180,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213031,KASOMALANG,321326,KASOMALANG,ITIK/ITIK MANILA,2470,KG,2024
181,32,JAWA BARAT,3213,KABUPATEN SUBANG,3213210,LEGONKULON,321321,LEGONKULON,AYAM KAMPUNG,21646.93,KG,2024
